2017-09-03 17:44:35:9737	../../../files/testListWithPickListSize025.txt
instanceNumber	DistanceMatrixRunningTime	NumberOfStagnantGeneration	PopulationSize	CrossoverProbability	MutationProbability	CrossoverOperator	MutationOperator	TravelledDistance	RunningTime
20	54,212	300	450	0,8	0,08	Ordered	Inversion	486,3	6,056
20	54,212	400	450	0,8	0,08	Ordered	Inversion	519,54	5,673
20	54,212	500	450	0,8	0,08	Ordered	Inversion	457,26	7,659

21	50,328	100	450	0,8	0,08	Ordered	Inversion	698,800000000001	3,174
21	50,328	200	450	0,8	0,08	Ordered	Inversion	595,040000000001	5,254
21	50,328	300	450	0,8	0,08	Ordered	Inversion	550,860000000001	3,402
21	50,328	400	450	0,8	0,08	Ordered	Inversion	629,64	5,174
21	50,328	500	450	0,8	0,08	Ordered	Inversion	635,180000000001	6,158

22	53,097	100	450	0,8	0,08	Ordered	Inversion	661,380000000001	5,313
22	53,097	200	450	0,8	0,08	Ordered	Inversion	711,240000000001	6,356
22	53,097	300	450	0,8	0,08	Ordered	Inversion	672,120000000001	4,018
22	53,097	400	450	0,8	0,08	Ordered	Inversion	672,120000000001	6,658
22	53,097	500	450	0,8	0,08	Ordered	Inversion	661,380000000001	8,538

23	52,534	100	450	0,8	0,08	Ordered	Inversion	574,920000000001	2,899
23	52,534	200	450	0,8	0,08	Ordered	Inversion	574,920000000001	5,733
23	52,534	300	450	0,8	0,08	Ordered	Inversion	585,660000000001	7,499
23	52,534	400	450	0,8	0,08	Ordered	Inversion	574,920000000001	6,61
23	52,534	500	450	0,8	0,08	Ordered	Inversion	668,960000000001	6,216

24	51,608	100	450	0,8	0,08	Ordered	Inversion	531,620000000001	4,065
24	51,608	200	450	0,8	0,08	Ordered	Inversion	655,620000000001	2,971
24	51,608	300	450	0,8	0,08	Ordered	Inversion	650,080000000001	8,666
24	51,608	400	450	0,8	0,08	Ordered	Inversion	569,380000000001	6,006
24	51,608	500	450	0,8	0,08	Ordered	Inversion	563,840000000001	7,401

25	52,104	100	450	0,8	0,08	Ordered	Inversion	645,640000000001	2,549
25	52,104	200	450	0,8	0,08	Ordered	Inversion	624,700000000001	5,837
25	52,104	300	450	0,8	0,08	Ordered	Inversion	568,220000000001	8,923
25	52,104	400	450	0,8	0,08	Ordered	Inversion	507,760000000001	7,401
25	52,104	500	450	0,8	0,08	Ordered	Inversion	608,280000000001	12,472

26	57,754	100	450	0,8	0,08	Ordered	Inversion	615,160000000001	2,981
26	57,754	200	450	0,8	0,08	Ordered	Inversion	549,260000000001	3,857
26	57,754	300	450	0,8	0,08	Ordered	Inversion	617,740000000001	8,211
26	57,754	400	450	0,8	0,08	Ordered	Inversion	578,760000000001	5,827
26	57,754	500	450	0,8	0,08	Ordered	Inversion	578,760000000001	6,992

