2017-08-31 03:06:54:8975	../../../files/testListWithPickListSize025.txt
NumberOfStagnantGeneration	PopulationSize	CrossoverProbability	MutationProbability	CrossoverOperator	MutationOperator	TravelledDistance	RunningTime
10	50	0,9	0,01	Ordered	Inversion	848,920000000002	0,072
10	50	0,9	0,02	Ordered	Inversion	1098,04	0,023
10	50	0,9	0,03	Ordered	Inversion	950,740000000002	0,054
10	50	0,9	0,04	Ordered	Inversion	867,820000000001	0,069
10	50	0,9	0,05	Ordered	Inversion	739,180000000001	0,145
15	10	0,6	0,01	Ordered	Inversion	1416,42	0,002
15	10	0,6	0,02	Ordered	Inversion	1452,96	0,013
15	10	0,6	0,03	Ordered	Inversion	1261,14	0,004
15	10	0,6	0,04	Ordered	Inversion	1168,56	0,003
15	10	0,6	0,05	Ordered	Inversion	1402,32	0,003
15	10	0,7	0,01	Ordered	Inversion	1248,4	0,003
15	10	0,7	0,02	Ordered	Inversion	1451,4	0,009
15	10	0,7	0,03	Ordered	Inversion	1212,64	0,018
15	10	0,7	0,04	Ordered	Inversion	1229,2	0,004
15	10	0,7	0,05	Ordered	Inversion	1215,8	0,008
15	10	0,8	0,01	Ordered	Inversion	1246,22	0,003
15	10	0,8	0,02	Ordered	Inversion	1303,86	0,016
2017-08-31 15:07:28:9449	../../../files/testListWithPickListSize025.txt
instanceNumber	DistanceMatrixRunningTime	NumberOfStagnantGeneration	PopulationSize	CrossoverProbability	MutationProbability	CrossoverOperator	MutationOperator	TravelledDistance	RunningTime
2017-08-31 15:16:25:4618	../../../files/testListWithPickListSize025.txt
instanceNumber	DistanceMatrixRunningTime	NumberOfStagnantGeneration	PopulationSize	CrossoverProbability	MutationProbability	CrossoverOperator	MutationOperator	TravelledDistance	RunningTime
1	193,837	5	10	0,6	0,01	Ordered	Inversion	1533,34	0,096
1	193,837	5	10	0,6	0,02	Ordered	Inversion	1507,81999999999	0,01
1	193,837	5	10	0,6	0,03	Ordered	Inversion	1272,76	0,003
1	193,837	5	10	0,6	0,04	Ordered	Inversion	1279,94	0,001
1	193,837	5	10	0,6	0,05	Ordered	Inversion	1443,82	0,003
1	193,837	5	10	0,7	0,01	Ordered	Inversion	1432,74	0,003
1	193,837	5	10	0,7	0,02	Ordered	Inversion	1255,94	0,004
1	193,837	5	10	0,7	0,03	Ordered	Inversion	1205,64	0,002
1	193,837	5	10	0,7	0,04	Ordered	Inversion	1252,78	0,001
1	193,837	5	10	0,7	0,05	Ordered	Inversion	1336,22	0,003
1	193,837	5	10	0,8	0,01	Ordered	Inversion	1131,92	0,005
1	193,837	5	10	0,8	0,02	Ordered	Inversion	1347,36	0,002
1	193,837	5	10	0,8	0,03	Ordered	Inversion	1335,54	0,006
1	193,837	5	10	0,8	0,04	Ordered	Inversion	1259,88	0,008
1	193,837	5	10	0,8	0,05	Ordered	Inversion	1424,46	0,004
1	193,837	5	10	0,9	0,01	Ordered	Inversion	1570,42	0,006
1	193,837	5	10	0,9	0,02	Ordered	Inversion	1292,96	0,007
1	193,837	5	10	0,9	0,03	Ordered	Inversion	1412,04	0,002
1	193,837	5	10	0,9	0,04	Ordered	Inversion	1296,38	0,009
1	193,837	5	10	0,9	0,05	Ordered	Inversion	1376,42	0,002
1	193,837	5	20	0,6	0,01	Ordered	Inversion	1205,88	0,004
1	193,837	5	20	0,6	0,02	Ordered	Inversion	1200,82	0,004
1	193,837	5	20	0,6	0,03	Ordered	Inversion	1307,12	0,003
1	193,837	5	20	0,6	0,04	Ordered	Inversion	1165,26	0,005
1	193,837	5	20	0,6	0,05	Ordered	Inversion	1189,36	0,004
1	193,837	5	20	0,7	0,01	Ordered	Inversion	1258,66	0,007
1	193,837	5	20	0,7	0,02	Ordered	Inversion	1260,84	0,003
1	193,837	5	20	0,7	0,03	Ordered	Inversion	1139	0,003
1	193,837	5	20	0,7	0,04	Ordered	Inversion	1081,22	0,003
1	193,837	5	20	0,7	0,05	Ordered	Inversion	1236,06	0,007
1	193,837	5	20	0,8	0,01	Ordered	Inversion	1081,56	0,009
1	193,837	5	20	0,8	0,02	Ordered	Inversion	1247,1	0,007
1	193,837	5	20	0,8	0,03	Ordered	Inversion	1145,48	0,007
1	193,837	5	20	0,8	0,04	Ordered	Inversion	1312,62	0,002
1	193,837	5	20	0,8	0,05	Ordered	Inversion	1147,76	0,014
1	193,837	5	20	0,9	0,01	Ordered	Inversion	1253,26	0,011
1	193,837	5	20	0,9	0,02	Ordered	Inversion	1231,06	0,003
1	193,837	5	20	0,9	0,03	Ordered	Inversion	915,700000000002	0,019
1	193,837	5	20	0,9	0,04	Ordered	Inversion	1162,24	0,011
1	193,837	5	20	0,9	0,05	Ordered	Inversion	1148,88	0,014
1	193,837	5	30	0,6	0,01	Ordered	Inversion	1128,08	0,005
1	193,837	5	30	0,6	0,02	Ordered	Inversion	1008,82	0,007
1	193,837	5	30	0,6	0,03	Ordered	Inversion	1231,5	0,005
1	193,837	5	30	0,6	0,04	Ordered	Inversion	1099,8	0,004
1	193,837	5	30	0,6	0,05	Ordered	Inversion	1324,9	0,004
1	193,837	5	30	0,7	0,01	Ordered	Inversion	1281,94	0,003
1	193,837	5	30	0,7	0,02	Ordered	Inversion	1118,4	0,008
1	193,837	5	30	0,7	0,03	Ordered	Inversion	1167,48	0,008
1	193,837	5	30	0,7	0,04	Ordered	Inversion	1127,98	0,003
1	193,837	5	30	0,7	0,05	Ordered	Inversion	893,680000000002	0,016
1	193,837	5	30	0,8	0,01	Ordered	Inversion	1023,58	0,013
1	193,837	5	30	0,8	0,02	Ordered	Inversion	1131,86	0,004
1	193,837	5	30	0,8	0,03	Ordered	Inversion	1089,78	0,009
1	193,837	5	30	0,8	0,04	Ordered	Inversion	1245,88	0,003
1	193,837	5	30	0,8	0,05	Ordered	Inversion	1149,74	0,005
1	193,837	5	30	0,9	0,01	Ordered	Inversion	1137,02	0,013
1	193,837	5	30	0,9	0,02	Ordered	Inversion	1156,26	0,02
1	193,837	5	30	0,9	0,03	Ordered	Inversion	1206,42	0,01
1	193,837	5	30	0,9	0,04	Ordered	Inversion	1084,58	0,007
1	193,837	5	30	0,9	0,05	Ordered	Inversion	1156,02	0,017
1	193,837	5	40	0,6	0,01	Ordered	Inversion	1166,42	0,004
1	193,837	5	40	0,6	0,02	Ordered	Inversion	1160,6	0,003
1	193,837	5	40	0,6	0,03	Ordered	Inversion	1323,06	0,002
1	193,837	5	40	0,6	0,04	Ordered	Inversion	1216,92	0,001
1	193,837	5	40	0,6	0,05	Ordered	Inversion	1136,72	0,008
1	193,837	5	40	0,7	0,01	Ordered	Inversion	1204,82	0,006
1	193,837	5	40	0,7	0,02	Ordered	Inversion	1122,04	0,008
1	193,837	5	40	0,7	0,03	Ordered	Inversion	1036,86	0,009
1	193,837	5	40	0,7	0,04	Ordered	Inversion	1140,28	0,012
1	193,837	5	40	0,7	0,05	Ordered	Inversion	1014,94	0,019
1	193,837	5	40	0,8	0,01	Ordered	Inversion	1019,5	0,016
1	193,837	5	40	0,8	0,02	Ordered	Inversion	1098,76	0,009
1	193,837	5	40	0,8	0,03	Ordered	Inversion	933,480000000003	0,013
1	193,837	5	40	0,8	0,04	Ordered	Inversion	962,900000000001	0,012
1	193,837	5	40	0,8	0,05	Ordered	Inversion	1310,6	0,003
1	193,837	5	40	0,9	0,01	Ordered	Inversion	1140,86	0,004
1	193,837	5	40	0,9	0,02	Ordered	Inversion	1242,38	0,004
1	193,837	5	40	0,9	0,03	Ordered	Inversion	888,380000000002	0,023
1	193,837	5	40	0,9	0,04	Ordered	Inversion	931,200000000003	0,038
1	193,837	5	40	0,9	0,05	Ordered	Inversion	1189,26	0,003
1	193,837	5	50	0,6	0,01	Ordered	Inversion	1241,74	0,005
1	193,837	5	50	0,6	0,02	Ordered	Inversion	1102,36	0,006
1	193,837	5	50	0,6	0,03	Ordered	Inversion	1146,3	0,016
1	193,837	5	50	0,6	0,04	Ordered	Inversion	1152,18	0,008
1	193,837	5	50	0,6	0,05	Ordered	Inversion	1048,48	0,017
1	193,837	5	50	0,7	0,01	Ordered	Inversion	1096,14	0,022
1	193,837	5	50	0,7	0,02	Ordered	Inversion	1041,38	0,017
1	193,837	5	50	0,7	0,03	Ordered	Inversion	833,460000000002	0,15
1	193,837	5	50	0,7	0,04	Ordered	Inversion	1068,1	0,015
1	193,837	5	50	0,7	0,05	Ordered	Inversion	1065,48	0,017
1	193,837	5	50	0,8	0,01	Ordered	Inversion	766,940000000001	0,026
1	193,837	5	50	0,8	0,02	Ordered	Inversion	1137,18	0,011
1	193,837	5	50	0,8	0,03	Ordered	Inversion	1123,12	0,006
1	193,837	5	50	0,8	0,04	Ordered	Inversion	1065,14	0,023
1	193,837	5	50	0,8	0,05	Ordered	Inversion	1068,16	0,008
1	193,837	5	50	0,9	0,01	Ordered	Inversion	1119,48	0,018
1	193,837	5	50	0,9	0,02	Ordered	Inversion	1182,12	0,01
1	193,837	5	50	0,9	0,03	Ordered	Inversion	974,300000000002	0,02
1	193,837	5	50	0,9	0,04	Ordered	Inversion	1204,76	0,007
1	193,837	5	50	0,9	0,05	Ordered	Inversion	1117,92	0,015
1	193,837	10	10	0,6	0,01	Ordered	Inversion	1331,4	0,001
1	193,837	10	10	0,6	0,02	Ordered	Inversion	1368,78	0,002
1	193,837	10	10	0,6	0,03	Ordered	Inversion	1164,96	0,006
1	193,837	10	10	0,6	0,04	Ordered	Inversion	1138,52	0,004
1	193,837	10	10	0,6	0,05	Ordered	Inversion	1274,16	0,002
1	193,837	10	10	0,7	0,01	Ordered	Inversion	1082,44	0,005
1	193,837	10	10	0,7	0,02	Ordered	Inversion	1194,44	0,002
1	193,837	10	10	0,7	0,03	Ordered	Inversion	1193,78	0,002
1	193,837	10	10	0,7	0,04	Ordered	Inversion	1292,6	0,006
1	193,837	10	10	0,7	0,05	Ordered	Inversion	1118,06	0,008
1	193,837	10	10	0,8	0,01	Ordered	Inversion	1101,88	0,005
1	193,837	10	10	0,8	0,02	Ordered	Inversion	1269,1	0,006
1	193,837	10	10	0,8	0,03	Ordered	Inversion	1399,7	0,002
1	193,837	10	10	0,8	0,04	Ordered	Inversion	1248,46	0,006
1	193,837	10	10	0,8	0,05	Ordered	Inversion	1308,04	0,002
1	193,837	10	10	0,9	0,01	Ordered	Inversion	1377,64	0,006
1	193,837	10	10	0,9	0,02	Ordered	Inversion	1267,02	0,007
1	193,837	10	10	0,9	0,03	Ordered	Inversion	1132,16	0,008
1	193,837	10	10	0,9	0,04	Ordered	Inversion	1244,9	0,01
1	193,837	10	10	0,9	0,05	Ordered	Inversion	1322,76	0,017
1	193,837	10	20	0,6	0,01	Ordered	Inversion	1211,28	0,009
1	193,837	10	20	0,6	0,02	Ordered	Inversion	1177,78	0,005
1	193,837	10	20	0,6	0,03	Ordered	Inversion	1288,02	0,004
1	193,837	10	20	0,6	0,04	Ordered	Inversion	1153,64	0,006
1	193,837	10	20	0,6	0,05	Ordered	Inversion	1002,94	0,012
1	193,837	10	20	0,7	0,01	Ordered	Inversion	1222,2	0,009
1	193,837	10	20	0,7	0,02	Ordered	Inversion	1234,6	0,005
1	193,837	10	20	0,7	0,03	Ordered	Inversion	930,420000000002	0,018
1	193,837	10	20	0,7	0,04	Ordered	Inversion	1110	0,009
1	193,837	10	20	0,7	0,05	Ordered	Inversion	1085,26	0,022
1	193,837	10	20	0,8	0,01	Ordered	Inversion	872,980000000002	0,012
1	193,837	10	20	0,8	0,02	Ordered	Inversion	1122,72	0,009
1	193,837	10	20	0,8	0,03	Ordered	Inversion	992,680000000003	0,017
1	193,837	10	20	0,8	0,04	Ordered	Inversion	1019,56	0,011
1	193,837	10	20	0,8	0,05	Ordered	Inversion	1148,44	0,007
1	193,837	10	20	0,9	0,01	Ordered	Inversion	1082,98	0,015
1	193,837	10	20	0,9	0,02	Ordered	Inversion	927,760000000002	0,008
1	193,837	10	20	0,9	0,03	Ordered	Inversion	1179,1	0,012
1	193,837	10	20	0,9	0,04	Ordered	Inversion	1017,32	0,041
1	193,837	10	20	0,9	0,05	Ordered	Inversion	1068,64	0,051
1	193,837	10	30	0,6	0,01	Ordered	Inversion	1019,84	0,01
1	193,837	10	30	0,6	0,02	Ordered	Inversion	1092,74	0,013
1	193,837	10	30	0,6	0,03	Ordered	Inversion	1059,06	0,013
1	193,837	10	30	0,6	0,04	Ordered	Inversion	1215,56	0,003
1	193,837	10	30	0,6	0,05	Ordered	Inversion	938,580000000002	0,013
1	193,837	10	30	0,7	0,01	Ordered	Inversion	1035,64	0,012
1	193,837	10	30	0,7	0,02	Ordered	Inversion	1168,32	0,011
1	193,837	10	30	0,7	0,03	Ordered	Inversion	999,040000000003	0,099
1	193,837	10	30	0,7	0,04	Ordered	Inversion	1089,4	0,017
1	193,837	10	30	0,7	0,05	Ordered	Inversion	1192,62	0,005
1	193,837	10	30	0,8	0,01	Ordered	Inversion	1033,26	0,015
1	193,837	10	30	0,8	0,02	Ordered	Inversion	1152,52	0,015
1	193,837	10	30	0,8	0,03	Ordered	Inversion	948,600000000002	0,028
1	193,837	10	30	0,8	0,04	Ordered	Inversion	900,440000000002	0,022
1	193,837	10	30	0,8	0,05	Ordered	Inversion	865,500000000001	0,021
1	193,837	10	30	0,9	0,01	Ordered	Inversion	1259,98	0,015
1	193,837	10	30	0,9	0,02	Ordered	Inversion	929,600000000002	0,044
1	193,837	10	30	0,9	0,03	Ordered	Inversion	975,920000000002	0,035
1	193,837	10	30	0,9	0,04	Ordered	Inversion	996,960000000002	0,028
1	193,837	10	30	0,9	0,05	Ordered	Inversion	974,660000000002	0,035
1	193,837	10	40	0,6	0,01	Ordered	Inversion	1164,34	0,015
1	193,837	10	40	0,6	0,02	Ordered	Inversion	916,280000000002	0,037
1	193,837	10	40	0,6	0,03	Ordered	Inversion	1087,16	0,079
1	193,837	10	40	0,6	0,04	Ordered	Inversion	1213,9	0,016
1	193,837	10	40	0,6	0,05	Ordered	Inversion	890,080000000002	0,028
1	193,837	10	40	0,7	0,01	Ordered	Inversion	1034,96	0,016
1	193,837	10	40	0,7	0,02	Ordered	Inversion	1062,8	0,029
1	193,837	10	40	0,7	0,03	Ordered	Inversion	1051,44	0,052
1	193,837	10	40	0,7	0,04	Ordered	Inversion	1002,16	0,133
1	193,837	10	40	0,7	0,05	Ordered	Inversion	947,720000000002	0,028
1	193,837	10	40	0,8	0,01	Ordered	Inversion	1064,32	0,031
1	193,837	10	40	0,8	0,02	Ordered	Inversion	1219,88	0,011
1	193,837	10	40	0,8	0,03	Ordered	Inversion	1076,36	0,018
1	193,837	10	40	0,8	0,04	Ordered	Inversion	872,060000000002	0,039
1	193,837	10	40	0,8	0,05	Ordered	Inversion	843,720000000002	0,029
1	193,837	10	40	0,9	0,01	Ordered	Inversion	933,920000000002	0,04
1	193,837	10	40	0,9	0,02	Ordered	Inversion	950,940000000002	0,058
1	193,837	10	40	0,9	0,03	Ordered	Inversion	1042,84	0,063
1	193,837	10	40	0,9	0,04	Ordered	Inversion	791,720000000002	0,062
1	193,837	10	40	0,9	0,05	Ordered	Inversion	906,760000000002	0,177
1	193,837	10	50	0,6	0,01	Ordered	Inversion	1019,7	0,035
1	193,837	10	50	0,6	0,02	Ordered	Inversion	1063,34	0,034
1	193,837	10	50	0,6	0,03	Ordered	Inversion	949,680000000001	0,043
1	193,837	10	50	0,6	0,04	Ordered	Inversion	932,220000000002	0,114
