2017-08-31 15:38:10:3121	../../../files/testListWithPickListSize025.txt
instanceNumber	DistanceMatrixRunningTime	NumberOfStagnantGeneration	PopulationSize	CrossoverProbability	MutationProbability	CrossoverOperator	MutationOperator	TravelledDistance	RunningTime
1	44,591	5	50	0,7	0,03	Ordered	Inversion	998,960000000002	0,02
1	44,591	5	50	0,7	0,04	Ordered	Inversion	1037,48	0,016
1	44,591	5	50	0,7	0,05	Ordered	Inversion	1099,94	0,007
1	44,591	5	50	0,8	0,01	Ordered	Inversion	1125,26	0,017
1	44,591	5	50	0,8	0,02	Ordered	Inversion	993,700000000002	0,017
1	44,591	5	50	0,8	0,03	Ordered	Inversion	1009	0,019
1	44,591	5	50	0,8	0,04	Ordered	Inversion	967,560000000002	0,019
1	44,591	5	50	0,8	0,05	Ordered	Inversion	774,180000000002	0,038
1	44,591	5	50	0,9	0,01	Ordered	Inversion	1180,66	0,025
1	44,591	5	50	0,9	0,02	Ordered	Inversion	873,360000000002	0,018
1	44,591	5	50	0,9	0,03	Ordered	Inversion	1290,2	0,009
1	44,591	5	50	0,9	0,04	Ordered	Inversion	984,900000000002	0,026
1	44,591	5	50	0,9	0,05	Ordered	Inversion	904,520000000002	0,03
1	44,591	5	50	1	0,01	Ordered	Inversion	1080,44	48,433
1	44,591	5	50	1	0,02	Ordered	Inversion	1170,26	38,108
1	44,591	5	50	1	0,03	Ordered	Inversion	1316,2	45,267
1	44,591	5	50	1	0,04	Ordered	Inversion	1169,34	203,803
1	44,591	5	50	1	0,05	Ordered	Inversion	1269,16	56,62
1	44,591	10	10	0,6	0,01	Ordered	Inversion	1324,66	0,003
1	44,591	10	10	0,6	0,02	Ordered	Inversion	1441,64	0,002
1	44,591	10	10	0,6	0,03	Ordered	Inversion	1246,66	0,003
1	44,591	10	10	0,6	0,04	Ordered	Inversion	1239,12	0,002
1	44,591	10	10	0,6	0,05	Ordered	Inversion	1368,36	0,003
1	44,591	10	10	0,7	0,01	Ordered	Inversion	1420,84	0,002
1	44,591	10	10	0,7	0,02	Ordered	Inversion	1422,24	0,002
1	44,591	10	10	0,7	0,03	Ordered	Inversion	1374,28	0,003
1	44,591	10	10	0,7	0,04	Ordered	Inversion	1283,64	0,004
1	44,591	10	10	0,7	0,05	Ordered	Inversion	1387,06	0,003
1	44,591	10	10	0,8	0,01	Ordered	Inversion	1423,94	0,002
1	44,591	10	10	0,8	0,02	Ordered	Inversion	1455,23999999999	0,004
1	44,591	10	10	0,8	0,03	Ordered	Inversion	1192,56	0,003
1	44,591	10	10	0,8	0,04	Ordered	Inversion	1415,64	0,003
1	44,591	10	10	0,8	0,05	Ordered	Inversion	1095,42	0,009
1	44,591	10	10	0,9	0,01	Ordered	Inversion	1164,76	0,004
1	44,591	10	10	0,9	0,02	Ordered	Inversion	1272,9	0,01
1	44,591	10	10	0,9	0,03	Ordered	Inversion	1241,02	0,005
1	44,591	10	10	0,9	0,04	Ordered	Inversion	1127,16	0,013
1	44,591	10	10	0,9	0,05	Ordered	Inversion	1245,1	0,008
1	44,591	10	10	1	0,01	Ordered	Inversion	1668,97999999999	0,009
1	44,591	10	10	1	0,02	Ordered	Inversion	1368,2	0,013
1	44,591	10	10	1	0,03	Ordered	Inversion	1545,81999999999	0,017
1	44,591	10	10	1	0,04	Ordered	Inversion	1514,34	0,021
1	44,591	10	10	1	0,05	Ordered	Inversion	1506,66	0,087
1	44,591	10	20	0,6	0,01	Ordered	Inversion	1294,08	0,011
1	44,591	10	20	0,6	0,02	Ordered	Inversion	1152,18	0,01
1	44,591	10	20	0,6	0,03	Ordered	Inversion	1165,74	0,006
1	44,591	10	20	0,6	0,04	Ordered	Inversion	1241,32	0,007
1	44,591	10	20	0,6	0,05	Ordered	Inversion	1155,44	0,01
1	44,591	10	20	0,7	0,01	Ordered	Inversion	1284,56	0,009
1	44,591	10	20	0,7	0,02	Ordered	Inversion	1011,78	0,015
1	44,591	10	20	0,7	0,03	Ordered	Inversion	1106,64	0,017
1	44,591	10	20	0,7	0,04	Ordered	Inversion	994,960000000002	0,011
1	44,591	10	20	0,7	0,05	Ordered	Inversion	966,040000000003	0,021
1	44,591	10	20	0,8	0,01	Ordered	Inversion	1190,52	0,01
1	44,591	10	20	0,8	0,02	Ordered	Inversion	895,820000000002	0,017
1	44,591	10	20	0,8	0,03	Ordered	Inversion	1163,9	0,01
1	44,591	10	20	0,8	0,04	Ordered	Inversion	1105,48	0,018
1	44,591	10	20	0,8	0,05	Ordered	Inversion	1037,82	0,021
1	44,591	10	20	0,9	0,01	Ordered	Inversion	1096,96	0,028
1	44,591	10	20	0,9	0,02	Ordered	Inversion	1077,44	0,029
1	44,591	10	20	0,9	0,03	Ordered	Inversion	1153,44	0,039
1	44,591	10	20	0,9	0,04	Ordered	Inversion	1097,12	0,057
1	44,591	10	20	0,9	0,05	Ordered	Inversion	989,180000000002	0,055
1	44,591	10	20	1	0,01	Ordered	Inversion	1419,96	0,101
1	44,591	10	20	1	0,02	Ordered	Inversion	1354,06	1,264
1	44,591	10	20	1	0,03	Ordered	Inversion	1596,13999999999	1,653
1	44,591	10	20	1	0,04	Ordered	Inversion	1308,58	3,006
1	44,591	10	20	1	0,05	Ordered	Inversion	1122,34	179,465
1	44,591	10	30	0,6	0,01	Ordered	Inversion	1284,46	0,017
1	44,591	10	30	0,6	0,02	Ordered	Inversion	1150,24	0,018
1	44,591	10	30	0,6	0,03	Ordered	Inversion	901,600000000002	0,06
1	44,591	10	30	0,6	0,04	Ordered	Inversion	1059,16	0,022
1	44,591	10	30	0,6	0,05	Ordered	Inversion	1008,86	0,039
1	44,591	10	30	0,7	0,01	Ordered	Inversion	1090,12	0,028
1	44,591	10	30	0,7	0,02	Ordered	Inversion	1240,54	0,019
1	44,591	10	30	0,7	0,03	Ordered	Inversion	960,460000000002	0,07
1	44,591	10	30	0,7	0,04	Ordered	Inversion	924,400000000002	0,045
1	44,591	10	30	0,7	0,05	Ordered	Inversion	990,920000000003	0,02
1	44,591	10	30	0,8	0,01	Ordered	Inversion	1119,62	0,029
1	44,591	10	30	0,8	0,02	Ordered	Inversion	1014,5	0,051
1	44,591	10	30	0,8	0,03	Ordered	Inversion	1079,72	0,04
1	44,591	10	30	0,8	0,04	Ordered	Inversion	1141,54	0,018
1	44,591	10	30	0,8	0,05	Ordered	Inversion	1053,52	0,02
1	44,591	10	30	0,9	0,01	Ordered	Inversion	907,240000000002	0,047
1	44,591	10	30	0,9	0,02	Ordered	Inversion	1059,4	0,102
1	44,591	10	30	0,9	0,03	Ordered	Inversion	941,740000000003	0,123
1	44,591	10	30	0,9	0,04	Ordered	Inversion	1026,64	0,049
1	44,591	10	30	0,9	0,05	Ordered	Inversion	1152,9	0,031
1	44,591	10	30	1	0,01	Ordered	Inversion	1289,62	0,232
